id,Hospital Value,Description,MiHIN Value,MiHIN Description
03210ef3d43968b97b9f5d321584a809,VEN,Assisted Breathing Center,"",""
03210ef3d43968b97b9f5d321584a809,O/P,Outpatient,"",""
03210ef3d43968b97b9f5d321584a809,NB,Newborn,"",""
03210ef3d43968b97b9f5d321584a809,HOS,Hospice,"",""
03210ef3d43968b97b9f5d321584a809,ER,Emergency,"",""
03210ef3d43968b97b9f5d321584a809,SER,Recurring,"",""
03210ef3d43968b97b9f5d321584a809,URC,Urgent Care,"",""
038bdb13021d7389d67ea309286767c3,CAR,Cardiology,104,Cardiology - General
038bdb13021d7389d67ea309286767c3,ER,Emergency Medicine,105,Emergency Medicine
038bdb13021d7389d67ea309286767c3,GERI,Geriatrics,107,Geriatrics
038bdb13021d7389d67ea309286767c3,GASTR,Gastroenterology,108,Gastroenterology
038bdb13021d7389d67ea309286767c3,GYNE,Gynecology,109,Gynecology
038bdb13021d7389d67ea309286767c3,HOSP,Hospice,110,Hospice Medicine
038bdb13021d7389d67ea309286767c3,MICU,Medical ICU,111,Medical Intensive Care
038bdb13021d7389d67ea309286767c3,INTMED,Internal Medicine,112,Internal Medicine
038bdb13021d7389d67ea309286767c3,NEUICU,Neuro ICU,114,Neuro ICU
038bdb13021d7389d67ea309286767c3,NEU,Neurology,115,Neurology
038bdb13021d7389d67ea309286767c3,NEO,Neonatology,116,Neonatology
038bdb13021d7389d67ea309286767c3,OBST,Obstetrics,117,Obstetrics
038bdb13021d7389d67ea309286767c3,ONC,Oncology,118,Oncology
038bdb13021d7389d67ea309286767c3,ORTHO,Orthopedics,119,Orthopedics
038bdb13021d7389d67ea309286767c3,PEDS,Pediatrics,121,Pediatrics
038bdb13021d7389d67ea309286767c3,PTREH,Physical Medicine and Rehabilitaiton,123,Physical Medicine and Rehabilitation
038bdb13021d7389d67ea309286767c3,SURG,Surgery,124,General Surgery
038bdb13021d7389d67ea309286767c3,SICU,Surgical ICU,125,Surgical Intensive Care
038bdb13021d7389d67ea309286767c3,ALLER,Allergy,128,Allergy & Immunology
038bdb13021d7389d67ea309286767c3,ANEST,Anesthesiology,129,Anesthesiology
038bdb13021d7389d67ea309286767c3,DERM,Dermatology,131,Dermatology
038bdb13021d7389d67ea309286767c3,FAMMD,Family Medicine,132,Family Medicine
038bdb13021d7389d67ea309286767c3,ENDOCRI,Endocrinology,133,Endocrinology
038bdb13021d7389d67ea309286767c3,GENET,Genetics,134,Genetics
038bdb13021d7389d67ea309286767c3,HEMA,Hematology,135,Hematology
038bdb13021d7389d67ea309286767c3,INFECT,Infectious Disease,136,Infectious Disease
038bdb13021d7389d67ea309286767c3,NEPHR,Nephrology,137,Nephrology
038bdb13021d7389d67ea309286767c3,NEUSURG,Neurosurgery,138,Neurosurgery
038bdb13021d7389d67ea309286767c3,OPHTH,Ophthalmology,139,Ophthalmology
038bdb13021d7389d67ea309286767c3,OTO,Otolaryngology/ENT,140,Otolaryngology/ENT
038bdb13021d7389d67ea309286767c3,PLSURG,Plastic Surgery,141,Plastic Surgery
038bdb13021d7389d67ea309286767c3,RADONC,Radiation Oncology,143,Radiation Oncology
038bdb13021d7389d67ea309286767c3,RHEUM,Rheumatology,144,Rheumatology
038bdb13021d7389d67ea309286767c3,URO,Urology,145,Urology
038bdb13021d7389d67ea309286767c3,PHARM,Pharmacy,148,Pharmacy
038bdb13021d7389d67ea309286767c3,IR,Interventional Radiology,149,Interventional Radiology
038bdb13021d7389d67ea309286767c3,RECSURG,Rectal Surgery,165,Colon/Rectal Surgery
038bdb13021d7389d67ea309286767c3,Colon and Re,Colon and Rectal Surgery,165,Colon/Rectal Surgery
038bdb13021d7389d67ea309286767c3,GYN ONC,Gynecology Oncology,166,Gynecology/Oncology
038bdb13021d7389d67ea309286767c3,Palliative,Palliative Care,175,Palliative Medicine
038bdb13021d7389d67ea309286767c3,POD,Podiatry,178,Podiatry
038bdb13021d7389d67ea309286767c3,RAD,Radiology,180,Radiology
038bdb13021d7389d67ea309286767c3,SLEEP,Sleep Med,181,Sleep Center
038bdb13021d7389d67ea309286767c3,TRANS,Transplant,185,Transplant
038bdb13021d7389d67ea309286767c3,PATH,Pathology,273,Pathology
038bdb13021d7389d67ea309286767c3,Pain,Pain Management,385,Pain Management
038bdb13021d7389d67ea309286767c3,VASSURG,Vascular Surgery,471,Vascular Surgery
038bdb13021d7389d67ea309286767c3,PSYCH,Psychiatry,479,Behavioral Health - Psychiatry
038bdb13021d7389d67ea309286767c3,Ethics,Ethics,481,Ethics
038bdb13021d7389d67ea309286767c3,TRAUM,Trauma,482,Trauma Surgery
038bdb13021d7389d67ea309286767c3,AMBSURG,Ambulatory Surgery,"",""
038bdb13021d7389d67ea309286767c3,BUR,Burn,"",""
038bdb13021d7389d67ea309286767c3,CATH,Cardiac Cath,"",""
038bdb13021d7389d67ea309286767c3,CICU,Cardiac ICU,"",""
038bdb13021d7389d67ea309286767c3,MED,General Medicine,"",""
038bdb13021d7389d67ea309286767c3,NEOICU,Neonatal ICU,"",""
038bdb13021d7389d67ea309286767c3,PICU,Pediatric Intensivist,"",""
038bdb13021d7389d67ea309286767c3,CARTHO,Cardiothoracic Surgery,"",""
038bdb13021d7389d67ea309286767c3,PULM,Pulmonology,"",""
038bdb13021d7389d67ea309286767c3,MFM,Maternal-Fetal Medicine,"",""
038bdb13021d7389d67ea309286767c3,MAXI,Maxillofacial & Oral Surgery,"",""
038bdb13021d7389d67ea309286767c3,PERINA,Perinatology,"",""
038bdb13021d7389d67ea309286767c3,MT,Music Therapy,"",""
038bdb13021d7389d67ea309286767c3,Child Life,Child Life,"",""
038bdb13021d7389d67ea309286767c3,Ped Hosp,Pediatric Hospitalist,"",""
038bdb13021d7389d67ea309286767c3,Newborn Hosp,Newborn Hospitalist,"",""
038bdb13021d7389d67ea309286767c3,Art Therapy,Art Therapy,"",""
038bdb13021d7389d67ea309286767c3,Nutrition,Nutrition,"",""
038bdb13021d7389d67ea309286767c3,Pediatric Su,Pediatric Surgery,"",""
038bdb13021d7389d67ea309286767c3,Ped Card,Pediatric Cardiologist,"",""
038bdb13021d7389d67ea309286767c3,Stomal Thera,Stomal Therapy,"",""
038bdb13021d7389d67ea309286767c3,Gift of Life,Gift of Life,"",""
038bdb13021d7389d67ea309286767c3,Patient Rela,Patient Relations,"",""
038bdb13021d7389d67ea309286767c3,Rapid Respon,Rapid Response,"",""
038bdb13021d7389d67ea309286767c3,LactationSrv,Lactation Service,"",""
038bdb13021d7389d67ea309286767c3,Ped Heme-Onc,Pediatric Hematology-Oncology,"",""
038bdb13021d7389d67ea309286767c3,Cardiovascul,Cardiovascular,"",""
038bdb13021d7389d67ea309286767c3,Ped Endocrin,Pediatric Endocrinology,"",""
038bdb13021d7389d67ea309286767c3,Ped Neuro,Pediatric Neurology,"",""
038bdb13021d7389d67ea309286767c3,Ped Pulmon,Pediatric Pulmonology,"",""
038bdb13021d7389d67ea309286767c3,Ped Gastro,Pediatric Gastroenterology,"",""
038bdb13021d7389d67ea309286767c3,Ped Rheum,Pediatric Rheumatology,"",""
038bdb13021d7389d67ea309286767c3,Pastoral Care,Pastoral,"",""
038bdb13021d7389d67ea309286767c3,CHF Clinic,CHF Clinic,"",""
038bdb13021d7389d67ea309286767c3,Infusion,Infusion,"",""
038bdb13021d7389d67ea309286767c3,Social Work,Social Work,"",""
038bdb13021d7389d67ea309286767c3,Therapy,Therapy,"",""
038bdb13021d7389d67ea309286767c3,Adv Ill,Advanced Illness,"",""
03ef634474b1e1f8ef742d1b330a89d8,H,Discharged to home or self care (routine discharge),01,Discharged to home or self care (routine discharge)
03ef634474b1e1f8ef742d1b330a89d8,X,Discharged/Transferred to short term gen hosp for ip care,02,Discharged/transferred to a short-term general hospital for inpatient care
03ef634474b1e1f8ef742d1b330a89d8,N,Discharged/transferred to SNF with medicare certification,03,Discharged/transferred to skilled nursing facility (SNF) with Medicare certification.
03ef634474b1e1f8ef742d1b330a89d8,I,Discharged/Transferred to an intermeidate care facility (ICF),04,Discharged/transferred to an intermediate care facility (ICF)
03ef634474b1e1f8ef742d1b330a89d8,W,Disch/trsfr to other type of healthcare inst not yet defined,05,Discharged/transferred to another type of institution not defined elsewhere in this code list
03ef634474b1e1f8ef742d1b330a89d8,A,Disch/trans to home under care of org home health service,06,Discharged/transferred to home under care of organized home health service organization
03ef634474b1e1f8ef742d1b330a89d8,L,Left against medical advice or discontinued care,07,Left against medical advice or discontinued care
03ef634474b1e1f8ef742d1b330a89d8,B,Inpatient,09,Admitted as an inpatient to this hospital
03ef634474b1e1f8ef742d1b330a89d8,E,Expired,20,Expired
03ef634474b1e1f8ef742d1b330a89d8,S,Still Patient,30,Still Patient
03ef634474b1e1f8ef742d1b330a89d8,D,Discharged/transferred to a federal health care facility,43,Discharged/transferred to a federal health care facility. (Effective 10/1/03)
03ef634474b1e1f8ef742d1b330a89d8,J,Hospice - home,50,Hospice - home
03ef634474b1e1f8ef742d1b330a89d8,K,Hospice - medical Facility (cert) prov hospice loc,51,Hospice - medical facility
03ef634474b1e1f8ef742d1b330a89d8,P,Disch/trsfr to ip rehab facility (IRF),62,Discharged/transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part units of a hospital. (Effective retroactive to 1/1/02.)
03ef634474b1e1f8ef742d1b330a89d8,Q,Disch/trsfr mcare cert long term care hosp (LTCH),63,Discharged/transferred to a Medicare certified long term care hospital (LTCH).(Effective 5/9/02.)
0467e8b3a670936f5a40418fe3403e47,HISPANIC,"",H,Hispanic or Latino
0467e8b3a670936f5a40418fe3403e47,NOT_HISPANIC,"",N,Not Hispanic or Latino
0467e8b3a670936f5a40418fe3403e47,UNKNOWN,"",U,Unknown
0467e8b3a670936f5a40418fe3403e47,UN,"",U,Unknown
0467e8b3a670936f5a40418fe3403e47,PR,"",D,Declined
048ab7360ef601fee8d8a1762c635f7a,EMERGENCY,"",E,Emergency
048ab7360ef601fee8d8a1762c635f7a,INPATIENT,"",I,Inpatient
048ab7360ef601fee8d8a1762c635f7a,OVERNIGHT SU,"",N,Not Applicable
048ab7360ef601fee8d8a1762c635f7a,OUTPATIENT,"",O,Outpatient
048ab7360ef601fee8d8a1762c635f7a,SPECIMEN,"",O,Outpatient
048ab7360ef601fee8d8a1762c635f7a,O,"",O,Outpatient
048ab7360ef601fee8d8a1762c635f7a,RECURRING OU,"",R,Recurring patient
048ab7360ef601fee8d8a1762c635f7a,OVERNIGHT CC,"",R,Recurring patient
048ab7360ef601fee8d8a1762c635f7a,NEWBORN,"",NB,Newborn
048ab7360ef601fee8d8a1762c635f7a,OBSERVATION,"",OB,Observation
048ab7360ef601fee8d8a1762c635f7a,SURG ADMIT,"",SA,Surgery Admit
048ab7360ef601fee8d8a1762c635f7a,SDS,"",SA,Surgery Admit
04ab7ff4f6073f1bfa6a57ab9ebff027,HI,"",H,Hispanic or Latino
04ab7ff4f6073f1bfa6a57ab9ebff027,NH,"",N,Not Hispanic or Latino
04ab7ff4f6073f1bfa6a57ab9ebff027,UA,"",U,Unknown
04ab7ff4f6073f1bfa6a57ab9ebff027,DC,"",D,Declined
04b2b9fac2222507628b753cb2c8dec6,Ancill.,Ancillary Department,"",""
04b2b9fac2222507628b753cb2c8dec6,Bus Unit,Business Unit,"",""
04b2b9fac2222507628b753cb2c8dec6,Clinic,Clinic,"",""
04b2b9fac2222507628b753cb2c8dec6,Division,Division,"",""
04b2b9fac2222507628b753cb2c8dec6,ER,ER,"",""
04b2b9fac2222507628b753cb2c8dec6,IP,Inpatient Hospital,"",""
04b2b9fac2222507628b753cb2c8dec6,SDS,Same Day Surgery,"",""
058a5c72b7ad02196c7a6595f929d335,UNKNOWN,UNKNOWN,52,Other
0694453e17b3dc88d0d4c9897e377c24,AIA,"",1002-5,American Indian or Alaska Native
0694453e17b3dc88d0d4c9897e377c24,AS,"",2028-9,Asian
0694453e17b3dc88d0d4c9897e377c24,BL,"",2054-5,Black or African American
0694453e17b3dc88d0d4c9897e377c24,NH,"",2076-8,Native Hawaiian or Other Pacific Islander
0694453e17b3dc88d0d4c9897e377c24,WH,"",2106-3,White
0694453e17b3dc88d0d4c9897e377c24,UO,"",2131-1,Other Race
0694453e17b3dc88d0d4c9897e377c24,OT,"",2131-1,Other Race
0694453e17b3dc88d0d4c9897e377c24,DEC,"",MR,Multi-Racial
06ed1224bca97c073ce934c36cfdead1,6,"",1,Physician referral
06ed1224bca97c073ce934c36cfdead1,1,"",4,Transfer from a hospital
06ed1224bca97c073ce934c36cfdead1,2,"",5,Transfer froma skilled nursing facility
06ed1224bca97c073ce934c36cfdead1,5,"",6,Transfer from another health care facility
06ed1224bca97c073ce934c36cfdead1,9,"",8,Court/Law enforcement
06ed1224bca97c073ce934c36cfdead1,NA,"",9,Information not available
06ed1224bca97c073ce934c36cfdead1,8,"",TRNF,Transfer from a non-health care facility
06ed1224bca97c073ce934c36cfdead1,E,"",TRAD,Transfer from Ambulatory Department
07649003167a8a8831cf23da34439733,C,Cardiology Clinic,104,Cardiology - General
07649003167a8a8831cf23da34439733,e,Emergency OP,105,Emergency Medicine
07649003167a8a8831cf23da34439733,G,OB GYNECOLOGY CLINIC,109,Gynecology
07649003167a8a8831cf23da34439733,H,Hospice,110,Hospice Medicine
07649003167a8a8831cf23da34439733,O,ORT CLC,119,Orthopedics
07649003167a8a8831cf23da34439733,P,Physical Therapy,123,Physical Medicine and Rehabilitation
07649003167a8a8831cf23da34439733,o,OUTPATIENT SURGICAL,124,General Surgery
07649003167a8a8831cf23da34439733,z,INPT SURGICAL,127,Acute Care Surgery
07649003167a8a8831cf23da34439733,a,ALLERGY CLINIC,128,Allergy & Immunology
07649003167a8a8831cf23da34439733,j,HEMATOLOGY CLINIC,135,Hematology
07649003167a8a8831cf23da34439733,I,ENT CLINIC,140,Otolaryngology/ENT
07649003167a8a8831cf23da34439733,u,UROLOGY CLINIC,145,Urology
07649003167a8a8831cf23da34439733,p,Podiatrist Clinic,178,Podiatry
07649003167a8a8831cf23da34439733,R,XRAY,180,Radiology
07649003167a8a8831cf23da34439733,c,Chemotherapy,208,Chemotherapy
07649003167a8a8831cf23da34439733,T,PAIN CLINIC,385,Pain Management
07649003167a8a8831cf23da34439733,L,Laboratory,"",""
07649003167a8a8831cf23da34439733,M,Respiratory Therapy,"",""
07649003167a8a8831cf23da34439733,B,Observation Outpatient,"",""
07649003167a8a8831cf23da34439733,E,Series Outpatient,"",""
07649003167a8a8831cf23da34439733,U,Ultrasound,"",""
07649003167a8a8831cf23da34439733,V,IP Medical Bed,"",""
07649003167a8a8831cf23da34439733,W,Walk-in Clinic,"",""
07649003167a8a8831cf23da34439733,X,Swing Bed,"",""
07649003167a8a8831cf23da34439733,d,Miscellaneous,"",""
07649003167a8a8831cf23da34439733,i,Ambulatory Services,"",""
07649003167a8a8831cf23da34439733,l,Reference Lab,"",""
07649003167a8a8831cf23da34439733,m,MRI,"",""
07649003167a8a8831cf23da34439733,n,Nuclear Medicine,"",""
07649003167a8a8831cf23da34439733,s,Preop Evaluation,"",""
07649003167a8a8831cf23da34439733,S,Surgical Clinic,"",""
07649003167a8a8831cf23da34439733,f,HR Preemployment,"",""
07649003167a8a8831cf23da34439733,F,ER Police Blood Alcohol,"",""
07649003167a8a8831cf23da34439733,b,Bayside Village,"",""
07649003167a8a8831cf23da34439733,Y,Monitored Bed,"",""
07649003167a8a8831cf23da34439733,q,ESI,"",""
07649003167a8a8831cf23da34439733,N,NONPT,"",""
07649003167a8a8831cf23da34439733,Z,ALT,"",""
07c4840b315e1ecdf4424a31176856e5,CARD,CARDIOLOGY,104,Cardiology - General
07c4840b315e1ecdf4424a31176856e5,CARDREHAB,CARDIOLOGY,104,Cardiology - General
07c4840b315e1ecdf4424a31176856e5,ER,EMERGENCY ROOM,105,Emergency Medicine
07c4840b315e1ecdf4424a31176856e5,NEURO,NEUROLOGY,115,Neurology
07c4840b315e1ecdf4424a31176856e5,PEDIATRIC,Pediatric,121,Pediatrics
07c4840b315e1ecdf4424a31176856e5,REHABMILPT,REHABILITATION,123,Physical Medicine and Rehabilitation
07c4840b315e1ecdf4424a31176856e5,GENERATION,REHABILITATION,123,Physical Medicine and Rehabilitation
07c4840b315e1ecdf4424a31176856e5,REHAB,REHABILITATION,123,Physical Medicine and Rehabilitation
07c4840b315e1ecdf4424a31176856e5,OR,SURGERY,124,General Surgery
07c4840b315e1ecdf4424a31176856e5,OPS,SURGERY,124,General Surgery
07c4840b315e1ecdf4424a31176856e5,RECOVERY,SURGERY,124,General Surgery
07c4840b315e1ecdf4424a31176856e5,ANESTHESIA,ANESTHESIA,129,Anesthesiology
07c4840b315e1ecdf4424a31176856e5,LAB,Hematology,135,Hematology
07c4840b315e1ecdf4424a31176856e5,LABMIPOINT,Hematology,135,Hematology
07c4840b315e1ecdf4424a31176856e5,LABOFFST,Hematology,135,Hematology
07c4840b315e1ecdf4424a31176856e5,LABSTCROSS,Hematology,135,Hematology
07c4840b315e1ecdf4424a31176856e5,LABAMRHEAS,Hematology,135,Hematology
07c4840b315e1ecdf4424a31176856e5,LABCS,Hematology,135,Hematology
07c4840b315e1ecdf4424a31176856e5,LABDAVITAG,Hematology,135,Hematology
07c4840b315e1ecdf4424a31176856e5,LABHOSPICE,Hematology,135,Hematology
07c4840b315e1ecdf4424a31176856e5,LABOFFUC,Hematology,135,Hematology
07c4840b315e1ecdf4424a31176856e5,LABWPHGH,Hematology,135,Hematology
07c4840b315e1ecdf4424a31176856e5,PHYLAB,Hematology,135,Hematology
07c4840b315e1ecdf4424a31176856e5,PLAS,PLASTIC SURGERY,141,Plastic Surgery
07c4840b315e1ecdf4424a31176856e5,WSTSHREURO,UROLOGY,145,Urology
07c4840b315e1ecdf4424a31176856e5,PHARMACY,Pharmacy,148,Pharmacy
07c4840b315e1ecdf4424a31176856e5,NURSERY,Newborn,153,Newborn
07c4840b315e1ecdf4424a31176856e5,NUR,Newborn,153,Newborn
07c4840b315e1ecdf4424a31176856e5,FBU,Labor and Delivery,154,Labor and Delivery
07c4840b315e1ecdf4424a31176856e5,MEDSURG,Hospitalist Medicine,156,Hospitalist Medicine
07c4840b315e1ecdf4424a31176856e5,MULTI,Select Specialty,158,Select Specialty
07c4840b315e1ecdf4424a31176856e5,OBGYN,Gynecology/Obstetrics,166,Gynecology/Obstetrics
07c4840b315e1ecdf4424a31176856e5,NOWH,Gynecology/Obstetrics,166,Gynecology/Obstetrics
07c4840b315e1ecdf4424a31176856e5,FBUOP,Gynecology/Obstetrics,166,Gynecology/Obstetrics
07c4840b315e1ecdf4424a31176856e5,NOCH OBGYN,Gynecology/Obstetrics,166,Gynecology/Obstetrics
07c4840b315e1ecdf4424a31176856e5,DIAGIMG,Radiology,180,Radiology
07c4840b315e1ecdf4424a31176856e5,DIAGIMGUC,Radiology,180,Radiology
07c4840b315e1ecdf4424a31176856e5,DIAGIMGWC,Radiology,180,Radiology
07c4840b315e1ecdf4424a31176856e5,DIAGIMGMP,Radiology,180,Radiology
07c4840b315e1ecdf4424a31176856e5,SLEEPCENT,Sleep Center,181,Sleep Center
07c4840b315e1ecdf4424a31176856e5,PATH,Pathology,273,Pathology
07c4840b315e1ecdf4424a31176856e5,LABGHPATH,Pathology,273,Pathology
07c4840b315e1ecdf4424a31176856e5,CARDIOPULM,Pulmonary,293,Pulmonary
07c4840b315e1ecdf4424a31176856e5,RT,Pulmonary,293,Pulmonary
07c4840b315e1ecdf4424a31176856e5,AMBULFLOOR,INFUSION CLINIC,374,Transfusion Medicine
07c4840b315e1ecdf4424a31176856e5,AMBCARSER,INFUSION CLINIC,374,Transfusion Medicine
07c4840b315e1ecdf4424a31176856e5,PHYFACILIT,PHYSICIAN FACILITY,376,Family Practice
07c4840b315e1ecdf4424a31176856e5,DR POSTEMA,PHYSICIAN FACILITY,376,Family Practice
07c4840b315e1ecdf4424a31176856e5,DRRABIDEAU,PHYSICIAN FACILITY,376,Family Practice
